id,channel,title,game,viewers,date
96609,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15960,1542682001381
96611,xqcow,NA Streamer plays games,Witch It,13336,1542682001386
96617,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6541,1542682001402
96630,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3707,1542682001432
96683,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1124,1542682001561
96703,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24651,1542682062241
96709,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15867,1542682062261
96711,xqcow,NA Streamer plays games,Witch It,13284,1542682062268
96717,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6546,1542682062285
96731,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3668,1542682062332
96779,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1275,1542682062464
96803,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24864,1542682123068
96809,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15867,1542682123084
96811,xqcow,NA Streamer plays games,Witch It,13344,1542682123091
96817,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6552,1542682123104
96831,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3659,1542682123152
96879,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1340,1542682123349
96903,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,25385,1542682183984
96909,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15727,1542682184014
96911,xqcow,NA Streamer plays games,Witch It,13562,1542682184019
96917,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6432,1542682184038
96933,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3669,1542682184101
96981,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1232,1542682184326
97003,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,25316,1542682245106
97009,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15739,1542682245132
97011,xqcow,NA Streamer plays games,Witch It,13562,1542682245140
97017,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6385,1542682245165
97034,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3664,1542682245230
97076,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1418,1542682245387
97103,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,25228,1542682306085
97109,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15802,1542682306104
97110,xqcow,NA Streamer plays games,Witch It,13719,1542682306108
97117,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6325,1542682306129
97134,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3667,1542682306171
97178,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1391,1542682306315
97203,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24729,1542682366972
97209,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15836,1542682366985
97211,xqcow,NA Streamer plays games,Witch It,13327,1542682366991
97217,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6322,1542682367004
97234,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3658,1542682367055
97279,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1373,1542682367183
97303,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24840,1542682427923
97309,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15832,1542682427946
97311,xqcow,NA Streamer plays games,Witch It,13400,1542682427951
97317,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6350,1542682427965
97336,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3652,1542682428020
97385,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1192,1542682428161
97403,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24858,1542682488823
97409,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15813,1542682488841
97410,xqcow,NA Streamer plays games,Witch It,13782,1542682488844
97417,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6336,1542682488862
97437,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3647,1542682488920
97490,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1042,1542682489086
97503,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24858,1542682549753
97509,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15827,1542682549773
97510,xqcow,NA Streamer plays games,Witch It,13782,1542682549777
97517,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6331,1542682549798
97537,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3643,1542682549869
97590,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1056,1542682550050
97603,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,25113,1542682610782
